Comunidades y Ciudades AutÛnomas;TamaÒo de los municipios;Periodo;Total
17 La Rioja;Total;2005;301.084
17 La Rioja;Total;2004;293.553
17 La Rioja;Total;2003;287.390
17 La Rioja;Total;2002;281.614
17 La Rioja;Total;2001;270.400
17 La Rioja;Total;2000;264.178
17 La Rioja;Total;1999;265.178
17 La Rioja;Total;1998;263.644
18 Ceuta;Total;2021;83.517
18 Ceuta;Total;2020;84.202
18 Ceuta;Total;2019;84.777
18 Ceuta;Total;2018;85.144
18 Ceuta;Total;2017;84.959
18 Ceuta;Total;2016;84.519
18 Ceuta;Total;2015;84.263
18 Ceuta;Total;2014;84.963
18 Ceuta;Total;2013;84.180
18 Ceuta;Total;2012;84.018
18 Ceuta;Total;2011;82.376
18 Ceuta;Total;2010;80.579
18 Ceuta;Total;2009;78.674
18 Ceuta;Total;2008;77.389
18 Ceuta;Total;2007;76.603
18 Ceuta;Total;2006;75.861
18 Ceuta;Total;2005;75.276
18 Ceuta;Total;2004;74.654
18 Ceuta;Total;2003;74.931
18 Ceuta;Total;2002;76.152
18 Ceuta;Total;2001;75.694
18 Ceuta;Total;2000;75.241
18 Ceuta;Total;1999;73.704
18 Ceuta;Total;1998;72.117
19 Melilla;Total;2021;86.261
19 Melilla;Total;2020;87.076
19 Melilla;Total;2019;86.487
19 Melilla;Total;2018;86.384
19 Melilla;Total;2017;86.120
19 Melilla;Total;2016;86.026
19 Melilla;Total;2015;85.584
19 Melilla;Total;2014;84.509
19 Melilla;Total;2013;83.679
19 Melilla;Total;2012;80.802
19 Melilla;Total;2011;78.476
19 Melilla;Total;2010;76.034
19 Melilla;Total;2009;73.460
19 Melilla;Total;2008;71.448
19 Melilla;Total;2007;69.440
19 Melilla;Total;2006;66.871
19 Melilla;Total;2005;65.488
19 Melilla;Total;2004;68.016
19 Melilla;Total;2003;68.463
19 Melilla;Total;2002;69.184
19 Melilla;Total;2001;68.789
19 Melilla;Total;2000;66.263
19 Melilla;Total;1999;56.929
19 Melilla;Total;1998;60.108
